code,description
Archaic,Archaic (7500 - 3000 BP)
Basketmaker_II,Basketmaker II (1000 BC - AD 500)
Basketmaker_III,Basketmaker III (AD 500 - 750)
Early_Puebloan,Early Puebloan (AD 500 - 900)
Formative,Formative (AD 500 - 1300)
Historic_Euro_American,Historic Euro-American (AD 1840-1965)
Historic_Other,Historic Other (AD 1840 - 1965)
Late_Puebloan,Late Puebloan (AD 900 - 1300)
Middle_Puebloan,Middle Puebloan (AD 750 - 1150)
Post_Puebloan,Post Puebloan (AD 1300 - 1840)
Protohistoric,Protohistoric (AD 1300 - 1881?)
Pueblo_I,Pueblo I (AD 750 - 900)
Pueblo_II,Pueblo II (AD 900 - 1150)
Pueblo_III,Pueblo III (AD 1150 - 1300)
Pueblo_IV,Pueblo IV (AD 1300 - 1600)
Unknown_Prehistoric,Unknown Prehistoric (12000 BP - AD 1840)
Late_Prehistoric,Late Prehistoric (3000 - 225 BP)
Paleoindian,Paleaoindian (12000 - 7500 BP)
