code,description
Adit,Adit
Bearing_Tree,Bearing Tree
Bedrock_Modification,Bedrock Modification
Biface,Biface
Blind,Blind
Boiler,Boiler
Burial,Burial
Cairn,Cairn
Can,Can
Ceramic,Ceramic
Chipped_Stone,Chipped Stone
Cist,Cist
Claim_Post,Claim Post
Core,Core
Datum,Datum
Drive,Drive
Flake,Flake
Flake_Modified,Flake (Modified)
Glass,Glass
Groundstone,Groundstone
Hearth,Hearth
Hoist,Hoist
Landmark,Landmark
Marker,Marker
Mine_Shaft,Mine Shaft
Organic,Organic
Other,Other
Photo_Point,Photo Point
Pottery,Pottery
Privy_Pit,Privy Pit
Projectile_Point,Projectile Point
Retouched_Flake,Retouced Flake
Rock_Art,Rock Art
Scraper,Scraper
Sediment_Stain,Sediment Stain
Tree_Carved,Tree (Carved)
Tree_Peeled,Tree (Peeled)
Uniface,Uniface
Upright_Slab,Upright Stone
Wall,Wall
Well,Well
