code,description
Adobe_Concentration,Adobe Concentration
Architecture_Other,Architecture (Other)
Architecture_Adobe,Architecture (Adobe)
Architecture_Jacal,Architecture (Jacal)
Architecture_Masonry,Architecture (Masonry)
Architecture_Wooden,Wooden Architecture
Artifact_Concentration,Artifact Concentration
Artifact_Scatter,Artifact Scatter
Bedrock_Modification,Bedrock Modification
Boulder,Boulder
Building,Building
Depression,Depression
Foundation,Foundation
Kiln,Kiln
Lithic_Concentration,Lithic Concentration
Midden,Midden
Other,Other
Oven,Oven
Quarry,Quarry
Reservoir,Reservoir
Retaining_Wall,Retaining Wall
Rock_Art,Rock Art
Rubble_Mound,Rubble Mound
Site_Boundary,Site Boundary
Soil_Stain,Soil Stain
Stone_Alignment,Stone Alignment
Stone_Circle,Stone Circle
Thermal_Feature,Thermal Feature
Tower,Tower
Adit,Adit
Boarding_House,Boarding House
Bridge,Bridge
Cabin,Cabin
Cemetery,Cemetery
Corral,Corral
Dam,Dam
Derrick,Derrick
Dugout,Dugout
Dump,Dump
Head_Frame,Head Frame
Homestead,Homestead
Impoundment,Impoundment
Mill,Mill
Mine,Mine
Ore_Bin,Ore Bin
Prospect_Pit,Prospect Pit
Ranch,Ranch
Sawmill,Sawmill
School,School
Shaft,Shaft
Smelter,Smelter
Stable,Stable
Tailings,Tailings
Tram_Station,Tram Station
Tram_Tower,Tram Tower
Waste_Rock_Pile,Waste Rock Pile
Windmill,Windmill
Workshop,Workshop
