code,description
Bedrock_Modification,Bedrock Modification
Bridge,Bridge
Check_Dam,Check Dam
Cliff,Cliff
Communication_Line,Communication Line
Ditch,Ditch
Drainage,Drainage
Extant_Architecture,Extant Architecture
Fence,Fence
Other,Other
Pipeline,Pipeline
Powerline,Powerline
Railroad,Railroad
Right_of_Way,Right-of-Way
Road,Road
Rock_Alignment,Rock Alignment
Rock_Art,Rock Art
Rockshelter,Rock Shelter
Stone_Alignment,Stone Alignment
Trail,Trail
Trench,Trench
Tunnel,Tunnel
Vegetation_Change,Vegetation Change
Wagon_Road,Wagon Road
Walkway,Walkway
Wall,Wall
